USAGE_DATE,STORAGE_TB,STAGE_TB,FAILSAFE_TB,TOTAL
2022-07-04,247.711657488,0.06921181281,131.002474357,378.783343658
2022-07-05,248.735283421,0.0667300858,132.492816655,381.294830162
2022-07-06,244.765044513,0.07060277444,136.222721558,381.058368845
2022-07-07,245.536696103,0.07098974625,136.762102774,382.369788623
2022-07-08,245.497363642,0.07011812773,138.623453495,384.190935264
2022-07-09,243.800683187,0.06666917897,139.734958631,383.602310997
2022-07-10,244.141950665,0.06743839824,139.127361517,383.33675058
2022-07-11,248.619289696,0.06900276828,139.575454128,388.263746593
2022-07-12,249.4769789,0.06869775404,138.305629177,387.851305831
2022-07-13,246.639125758,0.06810190416,136.793993049,383.501220711
2022-07-14,247.401065667,0.06676650048,136.138008722,383.605840889
2022-07-15,248.257707878,0.06510777985,135.368710842,383.6915265
2022-07-16,246.745211891,0.06634176431,136.400144922,383.211698577
2022-07-17,247.309941487,0.0671486708,137.307906322,384.68499648
2022-07-18,250.493194162,0.0678405629,138.444004314,389.005039039
2022-07-19,250.807481943,0.06765021549,139.994115374,390.869247533
2022-07-20,244.505253999,0.06479848003,143.837511089,388.407563568
2022-07-21,243.747605246,0.0658456072,144.802500245,388.615951099
2022-07-22,244.200617652,0.06516068345,145.113345269,389.379123604
2022-07-23,243.014693315,0.06471764032,143.791555718,386.870966673
2022-07-24,243.977228925,0.06528718706,142.496785234,386.539301346
2022-07-25,248.052981055,0.06557353149,141.636958035,389.755512621
2022-07-26,249.508142733,0.06567457579,140.053896069,389.627713378
2022-07-27,247.507749636,0.06603205582,136.955359515,384.529141207
2022-07-28,245.675673336,0.06560440846,136.880238829,382.621516573
2022-07-29,245.431403041,0.0690529265,137.238857573,382.73931354
2022-07-30,244.952039759,0.06596627489,137.118554717,382.136560751
2022-07-31,245.584586285,0.06699571344,137.239932538,382.891514537
2022-08-01,249.180577574,0.06621622476,137.508120338,386.754914137
2022-08-02,249.418545399,0.0654657037,137.695341635,387.179352738
